Livro,Autor,Ano,Área,Caminho_SSD
DIREITO_ADMINISTRATIVO_META_01_Introdução_ao_Direito_Administrativo,home,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\DIREITO_ADMINISTRATIVO_META_01_Introdução_ao_Direito_Administrativo.md
"Direito_Administrativo_Moderno_21ª_edição_2018_MEDAUAR,_Odete",CONHECIMENTO JURÍDICO,2018,administrativo,"D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Administrativo_Moderno_21ª_edição_2018_MEDAUAR,_Odete.md"
Direito_e_processo_do_trabalho_aplicado_à_administração_pública,SINDICATO NACIONAL DOS EDITORES DE LIVROS,2024,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_e_processo_do_trabalho_aplicado_à_administração_pública.md
Direito_Penal_2023_Série_Resumos_CRIMES_CONTRA_A_ADMINISTRACAO_PUBLICA,CRIMES CONTRA,2023,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Direito_Penal_2023_Série_Resumos_CRIMES_CONTRA_A_ADMINISTRACAO_PUBLICA.md
E-BOOK - DIREITO ADMINISTRATIVO,Eduardo Defaveri,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\E-BOOK - DIREITO ADMINISTRATIVO.md
Improbidade Administrativa - Resumo Esquematizado,Bruno,2014,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Improbidade Administrativa - Resumo Esquematizado.md
Improbidade_Administrativa_Daniel_Amorim_Assumpção_Neves_2020,Daniel Amorim Assumpção,2020,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Improbidade_Administrativa_Daniel_Amorim_Assumpção_Neves_2020.md
IURIS - Direito Administrativo - Vol. 02 - 2025000000,Eduardo Defaveri,2025,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\IURIS - Direito Administrativo - Vol. 02 - 2025000000.md
Jefferson_Luis_Kravchychyn_Prática_Processual_Previdenciária_Administrativa,NOTA DOS AUTORES,2014,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Jefferson_Luis_Kravchychyn_Prática_Processual_Previdenciária_Administrativa.md
Legislação Administrativa (2022.1),Gerson Cavalcante,2022,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Legislação Administrativa (2022.1).md
licitacoes_contratos_administrativos_teoria_jurisprudencia_4ed,SENADO FEDERAL,2022,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\licitacoes_contratos_administrativos_teoria_jurisprudencia_4ed.md
Licitações_e_Contratos_Administrativos_Teoria_e_Jurisprudência_2017,melleiro,2018,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Licitações_e_Contratos_Administrativos_Teoria_e_Jurisprudência_2017.md
Licínia Rossi - 2019 - Manual de Direito Administrativo,Licínia Rossi,2019,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Licínia Rossi - 2019 - Manual de Direito Administrativo.md
Livros - Manual do Direito Administrativo,Gustavo Mello Knoploc,2022,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Livros - Manual do Direito Administrativo.md
Manual Caseiro - Direito Administrativo I - 2020,Natália Fernand,2020,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual Caseiro - Direito Administrativo I - 2020.md
Manual Caseiro - Direito Administrativo II - 2020,Natália Fernand,2020,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual Caseiro - Direito Administrativo II - 2020.md
MANUAL DE DIREITO ADMINISTRATIVO - Alexandre Mazza (1),Unknown,2022,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\MANUAL DE DIREITO ADMINISTRATIVO - Alexandre Mazza (1).md
MANUAL DE DIREITO ADMINISTRATIVO - Alexandre Mazza,Unknown,2022,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\MANUAL DE DIREITO ADMINISTRATIVO - Alexandre Mazza.md
Manual de Direito Administrativo - Fernanda Marinela - 2018,ADMINISTRAÇÃO PÚBLICA,2018,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual de Direito Administrativo - Fernanda Marinela - 2018.md
Manual de Direito Administrativo - Licinia Rossi - 2020,Licinia Rossi,2020,administrativo,D:\doutora-ia\direito\ebooksmds\administrativo\Manual de Direito Administrativo - Licinia Rossi - 2020.md
